t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
2.579999999999827,0.0,0.0,0.050400000000006155,0.0,2.0009252782096635e-14,0.0,0.0,0.0,5.2903689336450795e-15,0.0,1.578758285773588e-14,0.0
2.5809999999998268,0.0,0.0,0.05040000000000616,0.0,2.0025038650541234e-14,0.0,0.0,0.0,5.292240165084412e-15,0.0,1.5784154031459363e-14,0.0
2.5819999999998267,0.0,0.0,0.05040000000000617,0.0,2.004082681798718e-14,0.0,0.0,0.0,5.294380298354918e-15,0.0,1.5795044774241235e-14,0.0
2.5829999999998265,0.0,0.0,0.050400000000006176,0.0,2.005662874008972e-14,0.0,0.0,0.0,5.2965742119916585e-15,0.0,1.5808799430834786e-14,0.0
2.5839999999998264,0.0,0.0,0.05040000000000618,0.0,2.007244441684885e-14,0.0,0.0,0.0,5.298768125628399e-15,0.0,1.5822554087428337e-14,0.0
2.5849999999998263,0.0,0.0,0.05040000000000619,0.0,2.0088273848264575e-14,0.0,0.0,0.0,5.3009620392651395e-15,0.0,1.5836308744021888e-14,0.0
2.585999999999826,0.0,0.0,0.0504000000000062,0.0,2.0104117034336895e-14,0.0,0.0,0.0,5.3031290627187626e-15,0.0,1.58486314437096e-14,0.0
2.586999999999826,0.0,0.0,0.050400000000006204,0.0,2.0119968247238184e-14,0.0,0.0,0.0,5.305161635256799e-15,0.0,1.585379435886812e-14,0.0
2.587999999999826,0.0,0.0,0.05040000000000621,0.0,2.013582462305463e-14,0.0,0.0,0.0,5.307194207794835e-15,0.0,1.5858957274026638e-14,0.0
2.588999999999826,0.0,0.0,0.05040000000000622,0.0,2.0151686161786237e-14,0.0,0.0,0.0,5.309226780332871e-15,0.0,1.5864120189185157e-14,0.0
2.5899999999998258,0.0,0.0,0.050400000000006225,0.0,2.0167552863433002e-14,0.0,0.0,0.0,5.311259352870907e-15,0.0,1.5869283104343676e-14,0.0
2.5909999999998257,0.0,0.0,0.05040000000000623,0.0,2.0183424727994926e-14,0.0,0.0,0.0,5.3132919254089436e-15,0.0,1.5874446019502195e-14,0.0
2.5919999999998256,0.0,0.0,0.05040000000000624,0.0,2.019930461938582e-14,0.0,0.0,0.0,5.315458948862567e-15,0.0,1.5886768719189906e-14,0.0
2.5929999999998254,0.0,0.0,0.050400000000006245,0.0,2.0215198265433306e-14,0.0,0.0,0.0,5.317652862499307e-15,0.0,1.5900523375783457e-14,0.0
2.5939999999998253,0.0,0.0,0.05040000000000625,0.0,2.0231105666137387e-14,0.0,0.0,0.0,5.319846776136048e-15,0.0,1.5914278032377008e-14,0.0
2.5949999999998252,0.0,0.0,0.05040000000000626,0.0,2.024702395758425e-14,0.0,0.0,0.0,5.321906238857201e-15,0.0,1.5920872904441366e-14,0.0
2.595999999999825,0.0,0.0,0.050400000000006266,0.0,2.0262947411946273e-14,0.0,0.0,0.0,5.3239388113952375e-15,0.0,1.5926035819599885e-14,0.0
2.596999999999825,0.0,0.0,0.05040000000000627,0.0,2.027887602922345e-14,0.0,0.0,0.0,5.325971383933274e-15,0.0,1.5931198734758404e-14,0.0
2.597999999999825,0.0,0.0,0.05040000000000628,0.0,2.0294809809415787e-14,0.0,0.0,0.0,5.32800395647131e-15,0.0,1.5936361649916923e-14,0.0
2.598999999999825,0.0,0.0,0.05040000000000629,0.0,2.0310748752523282e-14,0.0,0.0,0.0,5.330036529009346e-15,0.0,1.5941524565075442e-14,0.0
2.5999999999998247,0.0,0.0,0.050400000000006294,0.0,2.0326692858545936e-14,0.0,0.0,0.0,5.332069101547382e-15,0.0,1.594668748023396e-14,0.0
2.6009999999998246,0.0,0.0,0.0504000000000063,0.0,2.034264212748375e-14,0.0,0.0,0.0,5.3341016740854185e-15,0.0,1.595185039539248e-14,0.0
2.6019999999998245,0.0,0.0,0.05040000000000631,0.0,2.0358599423250534e-14,0.0,0.0,0.0,5.3362686975390416e-15,0.0,1.5964173095080192e-14,0.0
2.6029999999998243,0.0,0.0,0.050400000000006315,0.0,2.03745676097601e-14,0.0,0.0,0.0,5.338328160260195e-15,0.0,1.597076796714455e-14,0.0
2.6039999999998242,0.0,0.0,0.05040000000000632,0.0,2.0390540959184825e-14,0.0,0.0,0.0,5.340360732798231e-15,0.0,1.597593088230307e-14,0.0
2.604999999999824,0.0,0.0,0.05040000000000633,0.0,2.040651947152471e-14,0.0,0.0,0.0,5.3423933053362676e-15,0.0,1.5981093797461588e-14,0.0
2.605999999999824,0.0,0.0,0.050400000000006336,0.0,2.042250314677975e-14,0.0,0.0,0.0,5.344425877874304e-15,0.0,1.5986256712620107e-14,0.0
2.606999999999824,0.0,0.0,0.05040000000000634,0.0,2.0438491984949947e-14,0.0,0.0,0.0,5.34645845041234e-15,0.0,1.5991419627778626e-14,0.0
2.607999999999824,0.0,0.0,0.05040000000000635,0.0,2.0454485986035304e-14,0.0,0.0,0.0,5.348491022950376e-15,0.0,1.5996582542937145e-14,0.0
2.6089999999998237,0.0,0.0,0.050400000000006356,0.0,2.047048515003582e-14,0.0,0.0,0.0,5.350523595488412e-15,0.0,1.6001745458095664e-14,0.0
2.6099999999998236,0.0,0.0,0.05040000000000636,0.0,2.0486489476951495e-14,0.0,0.0,0.0,5.3525561680264485e-15,0.0,1.6006908373254183e-14,0.0
2.6109999999998235,0.0,0.0,0.05040000000000637,0.0,2.0502496102868516e-14,0.0,0.0,0.0,5.3544542896488986e-15,0.0,1.6004911503883506e-14,0.0
2.6119999999998234,0.0,0.0,0.05040000000000638,0.0,2.0518505027786885e-14,0.0,0.0,0.0,5.356594422919404e-15,0.0,1.601580224666538e-14,0.0
2.6129999999998232,0.0,0.0,0.050400000000006384,0.0,2.0534527707361846e-14,0.0,0.0,0.0,5.358788336556145e-15,0.0,1.602955690325893e-14,0.0
2.613999999999823,0.0,0.0,0.05040000000000639,0.0,2.0550564141593402e-14,0.0,0.0,0.0,5.360982250192885e-15,0.0,1.604331155985248e-14,0.0
2.614999999999823,0.0,0.0,0.0504000000000064,0.0,2.0566614330481552e-14,0.0,0.0,0.0,5.363176163829626e-15,0.0,1.605706621644603e-14,0.0
2.615999999999823,0.0,0.0,0.050400000000006405,0.0,2.0582678274026294e-14,0.0,0.0,0.0,5.365370077466366e-15,0.0,1.6070820873039582e-14,0.0
2.616999999999823,0.0,0.0,0.05040000000000641,0.0,2.059875597222763e-14,0.0,0.0,0.0,5.367563991103107e-15,0.0,1.6084575529633133e-14,0.0
2.6179999999998227,0.0,0.0,0.05040000000000642,0.0,2.061484742508556e-14,0.0,0.0,0.0,5.369757904739847e-15,0.0,1.6098330186226684e-14,0.0
2.6189999999998226,0.0,0.0,0.050400000000006426,0.0,2.0630952632600082e-14,0.0,0.0,0.0,5.3719249281934705e-15,0.0,1.6110652885914396e-14,0.0
2.6199999999998225,0.0,0.0,0.05040000000000643,0.0,2.0647065866943576e-14,0.0,0.0,0.0,5.373957500731507e-15,0.0,1.6115815801072915e-14,0.0
2.6209999999998224,0.0,0.0,0.05040000000000644,0.0,2.066318426420223e-14,0.0,0.0,0.0,5.375990073269543e-15,0.0,1.6120978716231434e-14,0.0
2.6219999999998223,0.0,0.0,0.05040000000000645,0.0,2.067931068828985e-14,0.0,0.0,0.0,5.378157096723166e-15,0.0,1.6133301415919145e-14,0.0
2.622999999999822,0.0,0.0,0.050400000000006454,0.0,2.0695450867034066e-14,0.0,0.0,0.0,5.3803510103599065e-15,0.0,1.6147056072512696e-14,0.0
2.623999999999822,0.0,0.0,0.05040000000000646,0.0,2.0711604800434876e-14,0.0,0.0,0.0,5.382544923996647e-15,0.0,1.6160810729106247e-14,0.0
2.624999999999822,0.0,0.0,0.05040000000000647,0.0,2.0727772488492278e-14,0.0,0.0,0.0,5.3847388376333875e-15,0.0,1.6174565385699798e-14,0.0
2.625999999999822,0.0,0.0,0.050400000000006474,0.0,2.0743953931206274e-14,0.0,0.0,0.0,5.386932751270128e-15,0.0,1.618832004229335e-14,0.0
2.6269999999998217,0.0,0.0,0.05040000000000648,0.0,2.0760149128576865e-14,0.0,0.0,0.0,5.389099774723751e-15,0.0,1.620064274198106e-14,0.0
2.6279999999998216,0.0,0.0,0.05040000000000649,0.0,2.0776352352776424e-14,0.0,0.0,0.0,5.391132347261787e-15,0.0,1.620580565713958e-14,0.0
2.6289999999998215,0.0,0.0,0.050400000000006495,0.0,2.0792560739891142e-14,0.0,0.0,0.0,5.3931649197998235e-15,0.0,1.62109685722981e-14,0.0
2.6299999999998214,0.0,0.0,0.0504000000000065,0.0,2.080877428992102e-14,0.0,0.0,0.0,5.39519749233786e-15,0.0,1.6216131487456618e-14,0.0
2.6309999999998213,0.0,0.0,0.05040000000000651,0.0,2.0824993002866055e-14,0.0,0.0,0.0,5.397230064875896e-15,0.0,1.6221294402615137e-14,0.0
2.631999999999821,0.0,0.0,0.050400000000006516,0.0,2.084121687872625e-14,0.0,0.0,0.0,5.399262637413932e-15,0.0,1.6226457317773656e-14,0.0
2.632999999999821,0.0,0.0,0.05040000000000652,0.0,2.0857445917501603e-14,0.0,0.0,0.0,5.401295209951968e-15,0.0,1.6231620232932175e-14,0.0
2.633999999999821,0.0,0.0,0.05040000000000653,0.0,2.0873680119192115e-14,0.0,0.0,0.0,5.4033277824900045e-15,0.0,1.6236783148090694e-14,0.0
2.634999999999821,0.0,0.0,0.05040000000000654,0.0,2.0889919483797786e-14,0.0,0.0,0.0,5.405333464844923e-15,0.0,1.6240514106343373e-14,0.0
2.6359999999998207,0.0,0.0,0.050400000000006544,0.0,2.090615828349099e-14,0.0,0.0,0.0,5.407204696284256e-15,0.0,1.6237085280066857e-14,0.0
2.6369999999998206,0.0,0.0,0.05040000000000655,0.0,2.0922393654357917e-14,0.0,0.0,0.0,5.409075927723589e-15,0.0,1.623365645379034e-14,0.0
2.6379999999998205,0.0,0.0,0.05040000000000656,0.0,2.093862559639857e-14,0.0,0.0,0.0,5.410947159162921e-15,0.0,1.6230227627513825e-14,0.0
2.6389999999998204,0.0,0.0,0.050400000000006565,0.0,2.0954854109612947e-14,0.0,0.0,0.0,5.412818390602254e-15,0.0,1.622679880123731e-14,0.0
2.6399999999998203,0.0,0.0,0.05040000000000657,0.0,2.0971079194001047e-14,0.0,0.0,0.0,5.414689622041587e-15,0.0,1.6223369974960793e-14,0.0
