t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
5.029000000000014,-0.722983972969925,0.2234276342373643,0.19124558637249597,2.246415746175871,1.0119586411406127,-2.557120910188691,3.7678833978520264e-06,5.517853219242753e-06,1.2958186046157311e-05,-1.3220730410134025e-05,2.0629239726375668e-05,-7.34442663183872e-06,-1.684471515938851e-05,89.27099263183169,-35.37736129746419,1.1289956382810873,2.012651686900474,3.19726682137676e-08
5.0300000000000145,-0.7229839692056433,0.2234276397489588,0.19124559931404564,2.2464157329898433,1.01195866171761,-2.5571209175186906,3.7606517075773276e-06,5.505339729892228e-06,1.2924920937907589e-05,-1.3151637797354286e-05,2.0524888273885496e-05,-7.315407237277272e-06,-1.681255201520102e-05,89.27099259906214,-35.37736114053254,1.1289956593135777,2.012651681932395,3.1843137631359966e-08
5.031000000000015,-0.722983965448603,0.22342764524804667,0.1912456122223605,2.2464157198727244,1.0119586821905064,-2.5571209248197064,3.7534009716710023e-06,5.492839963051548e-06,1.2891716358389241e-05,-1.3082911217552111e-05,2.0421037698199078e-05,-7.28645974498676e-06,-1.6780260778084038e-05,89.2709925666958,-35.37736098327567,1.1289956802345031,2.012651676976098,3.171401620205865e-08
5.032000000000015,-0.7229839616988227,0.2234276507346417,0.19124562509750107,2.2464157068241493,1.011958702559802,-2.5571209320918107,3.746131557524715e-06,5.480354006598954e-06,1.2858572349280632e-05,-1.3014548776831007e-05,2.0317685737022127e-05,-7.257584319006219e-06,-1.6747843681474723e-05,89.27099253472976,-35.377360825698375,1.128995701044481,2.0126516720314847,3.158530366249015e-08
5.0330000000000155,-0.7229839579563211,0.2234276562087577,0.19124563793952795,2.2464156938437547,1.011958722825994,-2.557120939335075,3.738843829337704e-06,5.46788194750135e-06,1.282548895098093e-05,-1.2946548590808246e-05,2.0214830137250112e-05,-7.228781118870848e-06,-1.6715302934441975e-05,89.27099250316108,-35.377360667805426,1.1289957217441253,2.012651667098458,3.145699972042161e-08
5.034000000000016,-0.7229839542211163,0.22342766167040867,0.19124565074850178,2.2464156809311793,1.011958742989578,-2.557120946549572,3.731538148149321e-06,5.45542387180546e-06,1.2792466202600063e-05,-1.2878908784527133e-05,2.0112468654845996e-05,-7.200050299717779e-06,-1.6682640726358804e-05,89.2709924719869,-35.377360509601566,1.1289957423340462,2.012651662176924,3.1329104094036277e-08
5.035000000000016,-0.7229839504932261,0.2234276671196086,0.19124566352448322,2.2464156680860636,1.0119587630510467,-2.5571209537353736,3.7242148718555686e-06,5.442979864654009e-06,1.2759504141983283e-05,-1.2811627492439026e-05,2.0010599054913707e-05,-7.171392012274237e-06,-1.664985922794602e-05,89.27099244120434,-35.3773603510915,1.1289957628148508,2.0126516572667876,3.120161646875054e-08
5.0360000000000165,-0.7229839467726678,0.2234276725563716,0.191245676267533,2.24641565530805,1.011958783010891,-2.5571209608925534,3.7168743552324485e-06,5.4305500102907575e-06,1.272660280571708e-05,-1.2744702858380747e-05,1.9909219111600786e-05,-7.1428064029367945e-06,-1.6616960594553026e-05,89.27099241081055,-35.37736019227991,1.128995783187143,2.012651652367956,3.107453654479294e-08
5.037000000000017,-0.7229839430594585,0.2234276779807119,0.19124568897771183,2.2464156425967827,1.0119588028695994,-2.5571209680211835,3.7095169499555732e-06,5.418134392061886e-06,1.2693762229134462e-05,-1.2678133035473157e-05,1.9808326608118833e-05,-7.114293613794742e-06,-1.658394695655441e-05,89.2709923808027,-35.37736003317144,1.1289958034515228,2.0126516474803364,3.094786398571235e-08
5.038000000000017,-0.7229839393536149,0.22342768339264374,0.1912457016550805,2.2464156299519082,1.0119588226276583,-2.557120975121337,3.7021430046260783e-06,5.405733092427681e-06,1.2660982446330053e-05,-1.2611916186151917e-05,1.970791933664669e-05,-7.0858537826890965e-06,-1.655082042548621e-05,89.27099235117794,-35.377359873770715,1.1289958236085869,2.012651642603839,3.082159845455976e-08
